timestamp,close,volume
2026-02-01T00:00:00Z,100.30000000,1000
2026-02-02T00:00:00Z,100.50060000,1070
2026-02-03T00:00:00Z,100.40009940,1140
2026-02-04T00:00:00Z,100.50049950,1210
2026-02-05T00:00:00Z,100.29949850,1280
2026-02-06T00:00:00Z,100.60039700,1350
2026-02-07T00:00:00Z,100.80159779,1000
2026-02-08T00:00:00Z,100.70079619,1070
2026-02-09T00:00:00Z,100.80149699,1140
2026-02-10T00:00:00Z,100.59989399,1210
2026-02-11T00:00:00Z,100.90169368,1280
2026-02-12T00:00:00Z,101.10349706,1350
2026-02-13T00:00:00Z,101.00239357,1000
2026-02-14T00:00:00Z,101.10339596,1070
2026-02-15T00:00:00Z,100.90118917,1140
2026-02-16T00:00:00Z,101.20389274,1210
2026-02-17T00:00:00Z,101.40630052,1280
2026-02-18T00:00:00Z,101.30489422,1350
2026-02-19T00:00:00Z,101.40619911,1000
2026-02-20T00:00:00Z,101.20338672,1070
2026-02-21T00:00:00Z,101.50699688,1140
2026-02-22T00:00:00Z,101.71001087,1210
2026-02-23T00:00:00Z,101.60830086,1280
2026-02-24T00:00:00Z,101.70990916,1350
2026-02-25T00:00:00Z,101.50648934,1000
2026-02-26T00:00:00Z,101.81100881,1070
2026-02-27T00:00:00Z,102.01463083,1140
2026-02-28T00:00:00Z,101.91261620,1210
2026-03-01T00:00:00Z,104.46043160,1980
2026-03-02T00:00:00Z,101.32661865,2050
2026-03-03T00:00:00Z,103.15049779,1700
2026-03-04T00:00:00Z,100.88118684,1770
2026-03-05T00:00:00Z,103.40321651,1840
2026-03-06T00:00:00Z,100.30112001,1910
2026-03-07T00:00:00Z,102.10654017,1980
2026-03-08T00:00:00Z,99.86019629,2050
2026-03-09T00:00:00Z,102.35670120,1700
2026-03-10T00:00:00Z,99.28600016,1770
2026-03-11T00:00:00Z,101.07314816,1840
2026-03-12T00:00:00Z,98.84953891,1910
